course_name,teaching_quality,difficulty,satisfaction,assignment_load,feedback
Quantum Physics,1,5,1,5,"Impossible to understand anything. No support."
Mobile App Dev,5,2,5,1,"Flutter is so fun to learn! Great teacher."
Intro to AI,4,3,4,2,"The sentiment analysis project was awesome."
Statistics 1,3,4,3,3,"A bit dry, but the examples were helpful."
Web Development,5,3,5,2,"Excellent course with hands-on projects."
Cybersecurity,2,5,2,5,"The jargon was overwhelming for a beginner."
Machine Learning,4,4,4,4,"Math-heavy but very rewarding."
Software Architecture,3,3,3,3,"Good concepts but needed more labs."
Big Data,5,2,5,2,"The Hadoop labs were very clear."
Operating Systems,2,5,2,5,"Too many projects with tight deadlines."
