course_name,teaching_quality,difficulty,satisfaction,assignment_load,feedback
UI/UX Design,5,2,5,1,"Loved the design thinking workshops!"
Digital Marketing,4,2,4,2,"Very practical tips for social media."
Blockchain Tech,3,5,3,4,"Interesting but the technical part was hard."
Human-Computer Interaction,5,1,5,1,"Fun projects and great feedback."
Compiler Design,2,5,2,5,"The most difficult course I've ever taken."
Intro to Python,5,2,5,1,"Excellent and easy to follow!"
DevOps Basics,3,4,3,3,"Good introduction but needed more help."
NLP Basics,5,4,5,3,"Great ML projects, though math-heavy."
Data Mining,2,4,2,4,"The algorithms were not well explained."
Software Testing,4,2,4,2,"I learned so much about TDD."
