course_name,teaching_quality,difficulty,satisfaction,assignment_load,feedback
Python 101,5,2,5,1,Fantastic course! Very easy to follow.
Calculus III,2,5,2,5,The material is extremely dense and hard.
Data Science Basics,4,3,4,2,Good introduction, but the ML part was quick.
English Literature,3,2,3,2,It was okay, but some readings were boring.
AI Ethics,5,1,5,1,Great discussions! Loved the guest speakers.
Network Security,1,4,1,4,The labs were always broken. Very frustrating.
Software Engineering,4,3,4,3,Solid course with a good group project.
Database Systems,3,4,3,4,The SQL assignments were a bit too long.
Cloud Computing,5,3,5,2,Best course I've taken so far.
Discrete Math,2,5,2,5,I struggled a lot with the proofs.
